Country;Region;Technology;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
World;;Hydropower;2702277.793;2640907.67;2711006.473;2711700.95;2889524.707;3009534.014;3120388.597;3160551.894;3303153.994;3351961.553;3534165.407;3587790.17;3773510.575;3874569.789;3986971.228;3985835.359;4147089.754;4185463.094;4306776.27;4352825.868;4477721.63;4400679.013
World;;Renewable hydropower;2614785.88;2553838.393;2622359.841;2623022.215;2799056.636;2916147.337;3026748.871;3064103.244;3211170.819;3262521.407;3438760.264;3497375.84;3684459.272;3785581.724;3894735.483;3891841.004;4032714.739;4064483.476;4189346.361;4238697.906;4357351.497;4275374.687
World;;Pumped storage;87491.913;87069.277;88646.632;88678.735;90468.071;93386.677;93639.726;96448.65;91983.175;89440.146;95405.143;90414.33;89051.303;88988.065;92235.745;93994.355;114375.015;120979.618;117429.909;114127.962;120370.133;125304.326
World;;Marine;545.889;523.515;533.015;529.95;507.758;515.477;489.847;495.142;486.969;486.247;514.686;565.086;963.602;925.115;998.283;1007.104;1042.921;1048.023;1021.241;995.175;983.975;970.024
World;;Wind;30925.915;37722.402;52403.129;63376.345;84080.516;103210.101;129505.057;168880.094;216820.916;272029.307;342843.331;433796.205;526036.617;636786.154;712113.836;828168.461;952964.973;1131831.003;1258795.59;1412376.716;1588477.108;1838263.605
World;;Onshore wind energy;30809.031;37566.417;51961.716;62534.366;82848.113;101770.418;127824.619;166587.905;213494.822;267656.009;335328.609;422203.772;511502.112;616269.32;687455.589;791920.194;911340.76;1074950.354;1190508.725;1327739.23;1484406.626;1700649.956
World;;Offshore wind energy;116.884;155.985;441.413;841.979;1232.403;1439.683;1680.438;2292.189;3326.094;4373.298;7514.722;11592.433;14534.505;20516.834;24658.247;36248.267;41624.213;56880.649;68286.865;84637.486;104070.482;137613.649
World;;Solar;1330.941;1701.675;1977.196;2397.899;3075.719;4405.23;6018.294;8110.817;12784.052;21000.123;33796.373;65757.967;101978.689;137891.201;193241.022;253223.594;325611.379;437945.142;562505.34;693552.047;842411.926;1033925.911
World;;Solar photovoltaic;804.941;1136.675;1408.196;1848.899;2487.719;3808.23;5467.294;7425.807;11884.905;20077.123;32143.097;62561.003;96508.882;131716.238;184112.963;243038.856;314480.177;425960.57;550458.288;679386.506;829252.966;1020297.378
World;;Concentrated solar power;526;565;569;549;588;597;551;685.01;899.147;923;1653.276;3196.964;5469.807;6174.963;9128.059;10184.738;11131.202;11984.572;12047.052;14165.541;13158.96;13628.533
World;;Bioenergy;142316.986;142598.325;156263.323;167379.566;182756.181;205213.464;217940.834;239573.103;258899.543;277842.37;312951.928;336638.43;371785.414;405653.324;436751.221;460859.567;488730.036;504021.263;526585.658;557118.673;572035.61;614017.268
World;;Solid biofuels and renewable municipal waste;128803.784;127592.364;138503.982;147283.207;161412.571;181594.001;190278.194;206710.533;220786.525;232877.076;260951.138;278640.969;302720.009;326912.711;350606.41;369005.874;395072.256;409065.045;429013.087;457340.933;471268.267;515320.723
World;;Renewable municipal waste;18793.102;19568.104;20204.616;21229.431;22979.801;25233.501;26759.223;28508.271;29231.83;29011.865;39843.506;40685.201;41052.02;43947.261;46804.679;50160.52;52800.608;57619.756;62578.053;68523.206;76148.4;86203.943
World;;Bagasse;13763.311;15638.508;17371.097;19037.926;19792.03;23267.696;23125.269;26718.261;26357.529;26217.188;35535.142;34999.531;39604.132;46037.334;49312.662;52309.388;55173.952;55574.112;56798.992;58650.753;60584.402;56651.374
World;;Other solid biofuels;96124.42;92255.828;100809.395;106870.996;118229.461;132435.119;139645.575;150635.73;164239.952;176436.999;184110.536;201184.751;219599.13;235294.9;252470.443;264512.979;285066.763;293889.505;307899.361;328470.228;332588.228;370968.992
World;;Liquid biofuels;0.405;15.51;956.024;741.72;914.156;1981.892;3095.393;1692.206;2209.829;4224.901;5593.115;4067.296;4341.458;5094.135;6380.73;7790.949;7315.671;6778.972;7232.498;8294.5;7907.4;7009.017
World;;Biogas;13512.797;14990.451;16803.317;19354.639;20429.454;21637.571;24567.247;31170.364;35903.189;40740.393;46407.675;53930.165;64723.947;73646.478;79764.081;84062.744;86342.109;88177.246;90340.073;91483.24;92859.943;91687.528
World;;Geothermal;52571.035;51644.64;52567.024;53730.334;55989.911;58409.052;59700.949;62668.867;65262.216;67289.775;68436.197;69795.519;70876.752;72407.98;77343.633;81228.849;83264.312;85989.054;89464.544;91979.759;94645.217;95251.031
Africa;;Hydropower;77918.584;84467.163;83318.665;85554.311;90974.537;97827.257;99798.726;98242.055;102540.853;108240.816;113027.296;113538.014;115267.689;121567.133;125686.574;124599.297;121742.912;130740.774;140549.073;147724.74;152606.568;159208.662
Africa;;Renewable hydropower;76080.584;82766.913;80835.165;82635.561;87464.037;94310.957;96269.226;94854.755;99273.403;105107.516;109964.046;110444.964;112087.689;118449.483;122240.574;121237.097;118136.162;126178.024;135682.432;142391.24;147322.868;154058.317
Africa;;Pumped storage;1838;1700.25;2483.5;2918.75;3510.5;3516.3;3529.5;3387.3;3267.45;3133.3;3063.25;3093.05;3180;3117.65;3446;3362.2;3606.75;4562.75;4866.641;5333.5;5283.7;5150.345
Africa;;Marine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Africa;;Wind;185.094;425.249;455.162;468.361;639.094;804.174;809.559;990.876;1222.534;1483.647;2012.29;2407.884;2817.231;3499.767;4477.289;5457.131;7006.337;7152.342;7845.576;9704.169;10563.129;12337.638
Africa;;Onshore wind energy;185.094;425.249;455.162;468.361;639.094;804.174;809.559;990.876;1222.534;1483.647;2012.29;2407.884;2817.231;3499.767;4477.289;5457.131;7006.337;7152.342;7845.576;9704.169;10563.129;12337.638
Africa;;Offshore wind energy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Africa;;Solar;14.466;18.977;21.855;24.89;26.714;31.282;39.342;49.31;63.452;91.501;189.28;627.912;1101.025;792.721;2085.705;3357.21;5196.927;7838.096;10215.359;12992.74;17238.191;19620.289
Africa;;Solar photovoltaic;14.466;18.977;21.855;24.89;26.714;31.282;39.342;49.31;63.452;91.501;189.179;300.425;389.79;560.947;1735.12;2941.501;3995.737;5970.29;7775.472;9386.319;14002.829;16183.384
Africa;;Concentrated solar power;0;0;0;0;0;0;0;0;0;0;0.101;327.487;711.235;231.774;350.585;415.709;1201.19;1867.806;2439.887;3606.421;3235.362;3436.905
Africa;;Bioenergy;2200.46;2235.944;2303.301;2275.012;2352.402;2392.853;2382.673;2357.435;2381.545;2487.438;2631.669;2683.241;2940.589;3056.243;2975.813;3037.567;3243.773;3077.926;3321.817;3386.335;3116.239;3162.112
Africa;;Solid biofuels and renewable municipal waste;2200.46;2235.944;2303.301;2275.012;2352.402;2392.853;2382.673;2348.435;2363.169;2467.338;2605.344;2654.875;2894.368;3002.454;2922.158;2969.412;3160.49;2961.169;3190.92;3221.388;2948.692;2996.515
Africa;;Renewable municipal waste;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Africa;;Bagasse;2087.539;2095.959;2161.91;2140.05;2213.466;2245.207;2244.974;2209.63;2212.738;2330.841;2480.819;2497.314;2734.298;2838.474;2737.77;2778.454;2966.474;2761.369;2987.137;3020.521;2733.859;2761.161
Africa;;Other solid biofuels;112.921;139.985;141.391;134.962;138.936;147.646;137.699;138.805;150.431;136.497;124.525;157.561;160.07;163.98;184.388;190.958;194.016;199.8;203.783;200.867;214.833;235.354
Africa;;Liquid biofuels;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0.36;0.51;0.51;0.51;2.81;7.21;4.41;6.21
Africa;;Biogas;0;0;0;0;0;0;0;9;18.376;20.1;26.325;28.366;46.221;53.739;53.295;67.645;82.773;116.247;128.087;157.737;163.137;159.387
Africa;;Geothermal;432;474.5;438;588;911.5;1019;1030;1060.5;1144;1301.145;1401.085;1496.81;1586.88;1906.045;3206.085;4481.1;4688.925;4870.155;5168.435;5383.855;5384.88;5182.69
Algeria;Africa;Hydropower;54;69;57.4;265.2;251.1;555.261;217.57;226.08;282.715;342;172.78;378.222;389.4;98.481;192.6;145.318;72;56;117;152;49.6;9
Algeria;Africa;Renewable hydropower;54;69;57.4;265.2;251.1;555.261;217.57;226.08;282.715;342;172.78;378.222;389.4;98.481;192.6;145.318;72;56;117;152;49.6;9
Algeria;Africa;Pumped storage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Algeria;Africa;Marine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Algeria;Africa;Wind;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;19.235;19.4;19.4;10;10;8;11
Algeria;Africa;Onshore wind energy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;19.235;19.4;19.4;10;10;8;11
Algeria;Africa;Offshore wind energy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Algeria;Africa;Solar;0;0;0;0;0;0;0;0;0;0;0.1;103.117;193.233;192.536;197.733;161.954;339.1;559.711;654.664;678.045;783.11;760.11
Algeria;Africa;Solar photovoltaic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9;13.748;204.7;373.6;521.554;544.935;665;642
Algeria;Africa;Concentrated solar power;0;0;0;0;0;0;0;0;0;0;0.1;103.117;193.233;192.536;196.833;148.206;134.4;186.111;133.11;133.11;118.11;118.11
Algeria;Africa;Bioenergy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Algeria;Africa;Solid biofuels and renewable municipal waste;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Algeria;Africa;Renewable municipal waste;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Algeria;Africa;Bagasse;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Algeria;Africa;Other solid biofuels;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Algeria;Africa;Liquid biofuels;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Algeria;Africa;Biogas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Algeria;Africa;Geothermal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angola;Africa;Hydropower;900.29;1010.274;1130.254;1230.578;1730.338;2200.298;2540.269;2880.211;3182.131;3335.601;3685.589;4042.915;3839.829;3638.555;5039.928;5039.928;6286.126;8844.173;11322.922;12562.297;13801.672;13801.672
Angola;Africa;Renewable hydropower;900.29;1010.274;1130.254;1230.578;1730.338;2200.298;2540.269;2880.211;3182.131;3335.601;3685.589;4042.915;3839.829;3638.555;5039.928;5039.928;6286.126;8844.173;11322.922;12562.297;13801.672;13801.672
Angola;Africa;Pumped storage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angola;Africa;Marine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angola;Africa;Wind;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angola;Africa;Onshore wind energy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angola;Africa;Offshore wind energy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angola;Africa;Solar;0;0.14;0.14;0.14;0;0;0;0;0;0;0;0.001;0.014;0.052;0.477;0.477;0.488;0.624;0.642;1.962;1.973;2.069
Angola;Africa;Solar photovoltaic;0;0.14;0.14;0.14;0;0;0;0;0;0;0;0.001;0.014;0.052;0.477;0.477;0.488;0.624;0.642;1.962;1.973;2.069
Angola;Africa;Concentrated solar power;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angola;Africa;Bioenergy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;42;155;200;200;200;200;200
Angola;Africa;Solid biofuels and renewable municipal waste;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;42;155;200;200;200;200;200
Angola;Africa;Renewable municipal waste;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angola;Africa;Bagasse;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;42;155;200;200;200;200;200
Angola;Africa;Other solid biofuels;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angola;Africa;Liquid biofuels;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angola;Africa;Biogas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angola;Africa;Geothermal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Benin;Africa;Hydropower;1.634;1.569;1.519;1.694;1.489;0.752;0;0;0.362;0.241;0;0;0.348;0;0;1.125;0;0.072;0.072;0.072;0.072;0.072
Benin;Africa;Renewable hydropower;1.634;1.569;1.519;1.694;1.489;0.752;0;0;0.362;0.241;0;0;0.348;0;0;1.125;0;0.072;0.072;0.072;0.072;0.072
Benin;Africa;Pumped storage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Benin;Africa;Marine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Benin;Africa;Wind;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
